DATE,TAG,POSTS
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","javascript","4951"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1023"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5394"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1461"
"2011-01-01 00:00:00","delphi","369"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c#","7989"
"2011-01-01 00:00:00","java","6540"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","479"
"2011-01-01 00:00:00","javascript","5424"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3495"
"2011-01-01 00:00:00","php","6441"
"2011-01-01 00:00:00","python","2903"
"2011-01-01 00:00:00","swift","4"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","java","6872"
"2011-02-01 00:00:00","c#","8224"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6713"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c++","3445"
"2011-02-01 00:00:00","c","1638"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","5"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3012"
"2011-02-01 00:00:00","delphi","360"
"2011-03-01 00:00:00","php","8118"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3749"
"2011-03-01 00:00:00","javascript","6771"
"2011-03-01 00:00:00","c#","9989"
"2011-03-01 00:00:00","c","2110"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8479"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7896"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","c#","9282"
"2011-04-01 00:00:00","c","2041"
"2011-04-01 00:00:00","php","7661"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c++","4168"
"2011-04-01 00:00:00","javascript","6879"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","python","3342"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3883"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10017"
"2011-05-01 00:00:00","java","8568"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","delphi","477"
"2011-05-01 00:00:00","go","37"
"2011-05-01 00:00:00","c","1825"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8110"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3516"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3472"
"2011-06-01 00:00:00","c#","9764"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","javascript","7686"
"2011-06-01 00:00:00","c","1764"
"2011-06-01 00:00:00","c++","3813"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7915"
"2011-06-01 00:00:00","php","8049"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9610"
"2011-07-01 00:00:00","javascript","8113"
"2011-07-01 00:00:00","java","8164"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3850"
"2011-07-01 00:00:00","php","8710"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3662"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3828"
"2011-08-01 00:00:00","javascript","8912"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","10075"
"2011-08-01 00:00:00","c++","3954"
"2011-08-01 00:00:00","java","8692"
"2011-08-01 00:00:00","php","8951"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1916"
"2011-09-01 00:00:00","python","3522"
"2011-09-01 00:00:00","javascript","8200"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1549"
"2011-09-01 00:00:00","java","8334"
"2011-09-01 00:00:00","c#","9310"
"2011-09-01 00:00:00","c++","3947"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8088"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8568"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4356"
"2011-10-01 00:00:00","javascript","8041"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","c#","9229"
"2011-10-01 00:00:00","c","2139"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8089"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3625"
"2011-10-01 00:00:00","ruby","1616"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","209"
"2011-11-01 00:00:00","javascript","8693"
"2011-11-01 00:00:00","java","9657"
"2011-11-01 00:00:00","c#","9916"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4485"
"2011-11-01 00:00:00","c","2199"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8711"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9216"
"2011-12-01 00:00:00","php","8357"
"2011-12-01 00:00:00","c#","9325"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","javascript","8348"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","c++","4363"
"2011-12-01 00:00:00","python","3624"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1687"
"2012-01-01 00:00:00","java","10154"
"2012-01-01 00:00:00","javascript","9610"
"2012-01-01 00:00:00","c#","10463"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","170"
"2012-01-01 00:00:00","php","9343"
"2012-01-01 00:00:00","c++","4548"
"2012-01-01 00:00:00","c","2234"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1907"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4212"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","javascript","9993"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","java","10967"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5106"
"2012-02-01 00:00:00","c#","10766"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","php","9960"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","ruby","2047"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","498"
"2012-03-01 00:00:00","c++","5243"
"2012-03-01 00:00:00","java","12412"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11607"
"2012-03-01 00:00:00","c","2733"
"2012-03-01 00:00:00","javascript","10722"
"2012-03-01 00:00:00","php","10923"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","python","5041"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2193"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12043"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","php","10434"
"2012-04-01 00:00:00","c","2673"
"2012-04-01 00:00:00","c++","5313"
"2012-04-01 00:00:00","perl","600"
"2012-04-01 00:00:00","c#","11134"
"2012-04-01 00:00:00","python","4920"
"2012-04-01 00:00:00","javascript","10679"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1972"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c++","4989"
"2012-05-01 00:00:00","c#","11582"
"2012-05-01 00:00:00","java","12191"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","javascript","11527"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2484"
"2012-05-01 00:00:00","perl","644"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","php","10957"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5103"
"2012-06-01 00:00:00","java","11110"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11327"
"2012-06-01 00:00:00","javascript","11245"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2311"
"2012-06-01 00:00:00","c++","4654"
"2012-06-01 00:00:00","php","10604"
"2012-06-01 00:00:00","python","5281"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5285"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12321"
"2012-07-01 00:00:00","java","12260"
"2012-07-01 00:00:00","python","5725"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12309"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","swift","9"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","php","11753"
"2012-07-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","php","11906"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11951"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5164"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5864"
"2012-08-01 00:00:00","c","2318"
"2012-08-01 00:00:00","javascript","12432"
"2012-08-01 00:00:00","perl","763"
"2012-08-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","java","12257"
"2012-08-01 00:00:00","swift","5"
"2012-08-01 00:00:00","r","1089"
"2012-09-01 00:00:00","javascript","11164"
"2012-09-01 00:00:00","c","2531"
"2012-09-01 00:00:00","c#","11279"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11624"
"2012-09-01 00:00:00","c++","4910"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11004"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","663"
"2012-09-01 00:00:00","python","5252"
"2012-09-01 00:00:00","r","1060"
"2012-09-01 00:00:00","ruby","1958"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12718"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5914"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12425"
"2012-10-01 00:00:00","assembly","315"
"2012-10-01 00:00:00","c","3152"
"2012-10-01 00:00:00","python","6130"
"2012-10-01 00:00:00","java","13500"
"2012-10-01 00:00:00","php","11806"
